,date,hour,menu,city,time
136,2020-05-30,14,치킨,동작구,27.96
137,2020-05-30,14,치킨,영등포구,23.85
138,2020-05-30,14,치킨,은평구,30.14
139,2020-05-30,15,치킨,구로구,32.36
140,2020-05-30,15,치킨,금천구,19.77
141,2020-05-30,15,치킨,도봉구,19.69
142,2020-05-30,15,치킨,동작구,26.96
143,2020-05-30,15,치킨,양천구,40.38
144,2020-05-30,15,치킨,영등포구,28.63
145,2020-05-30,15,치킨,은평구,29.27
146,2020-05-30,16,치킨,구로구,32.96
147,2020-05-30,16,치킨,금천구,19.78
148,2020-05-30,16,치킨,도봉구,19.01
149,2020-05-30,16,치킨,동작구,26.21
150,2020-05-30,16,치킨,양천구,26.37
151,2020-05-30,16,치킨,영등포구,22.48
152,2020-05-30,16,치킨,은평구,24.89
153,2020-05-30,17,치킨,구로구,30.62
154,2020-05-30,17,치킨,금천구,22.1
155,2020-05-30,17,치킨,도봉구,21.14
156,2020-05-30,17,치킨,동작구,27.78
157,2020-05-30,17,치킨,양천구,46.96
158,2020-05-30,17,치킨,영등포구,27.45
159,2020-05-30,17,치킨,은평구,27.45
160,2020-05-30,18,치킨,구로구,34.89
161,2020-05-30,18,치킨,금천구,21.17
162,2020-05-30,18,치킨,도봉구,28.33
163,2020-05-30,18,치킨,동작구,36.96
164,2020-05-30,18,치킨,양천구,27.43
165,2020-05-30,18,치킨,영등포구,33.63
166,2020-05-30,18,치킨,은평구,26.73
167,2020-05-30,19,치킨,구로구,36.04
168,2020-05-30,19,치킨,금천구,20.13
169,2020-05-30,19,치킨,도봉구,27.55
170,2020-05-30,19,치킨,동작구,37.41
171,2020-05-30,19,치킨,양천구,25.62
172,2020-05-30,19,치킨,영등포구,32.16
173,2020-05-30,19,치킨,은평구,25.79
174,2020-05-30,20,치킨,구로구,33.54
175,2020-05-30,20,치킨,금천구,22.15
176,2020-05-30,20,치킨,도봉구,20.68
177,2020-05-30,20,치킨,동작구,31.29
178,2020-05-30,20,치킨,양천구,35.19
179,2020-05-30,20,치킨,영등포구,24.4
180,2020-05-30,20,치킨,은평구,23.37
181,2020-05-30,21,치킨,구로구,26.93
182,2020-05-30,21,치킨,금천구,24.36
183,2020-05-30,21,치킨,도봉구,23.06
184,2020-05-30,21,치킨,동작구,26.64
185,2020-05-30,21,치킨,영등포구,23.95
186,2020-05-30,21,치킨,은평구,24.62
187,2020-05-30,22,치킨,구로구,25.67
188,2020-05-30,22,치킨,금천구,22.25
189,2020-05-30,22,치킨,도봉구,21.32
190,2020-05-30,22,치킨,동작구,25.73
191,2020-05-30,22,치킨,영등포구,24.98
192,2020-05-30,22,치킨,은평구,27.27
193,2020-05-30,23,치킨,구로구,23.67
194,2020-05-30,23,치킨,금천구,19.1
195,2020-05-30,23,치킨,동작구,28.05
196,2020-05-30,23,치킨,영등포구,25.26
197,2020-05-30,23,치킨,은평구,25.25
198,2020-05-31,0,치킨,구로구,22.24
199,2020-05-31,0,치킨,금천구,22.18
200,2020-05-31,0,치킨,동작구,27.73
201,2020-05-31,0,치킨,영등포구,22.7
202,2020-05-31,0,치킨,은평구,22.41
203,2020-05-31,1,치킨,구로구,21.19
204,2020-05-31,1,치킨,금천구,20.74
205,2020-05-31,1,치킨,동작구,22.96
206,2020-05-31,1,치킨,영등포구,17.9
207,2020-05-31,1,치킨,은평구,23.66
208,2020-05-31,2,치킨,영등포구,22.84
209,2020-05-31,3,치킨,영등포구,15.88
210,2020-05-31,4,치킨,영등포구,19.35
211,2020-05-31,9,치킨,동작구,42.11
212,2020-05-31,10,치킨,구로구,25.77
213,2020-05-31,10,치킨,동작구,17.69
214,2020-05-31,10,치킨,영등포구,31.99
215,2020-05-31,11,치킨,구로구,25.87
216,2020-05-31,11,치킨,금천구,15.89
217,2020-05-31,11,치킨,동작구,27.92
218,2020-05-31,11,치킨,양천구,27.33
219,2020-05-31,11,치킨,영등포구,35.31
220,2020-05-31,11,치킨,은평구,12.57
221,2020-05-31,12,치킨,구로구,30.12
222,2020-05-31,12,치킨,금천구,21.07
223,2020-05-31,12,치킨,도봉구,22.06
224,2020-05-31,12,치킨,동작구,25.48
225,2020-05-31,12,치킨,양천구,19.15
226,2020-05-31,12,치킨,영등포구,30.41
227,2020-05-31,12,치킨,은평구,15.62
228,2020-05-31,13,치킨,구로구,28.04
229,2020-05-31,13,치킨,금천구,20.85
230,2020-05-31,13,치킨,도봉구,20.87
231,2020-05-31,13,치킨,동작구,18.81
232,2020-05-31,13,치킨,양천구,32.13
233,2020-05-31,13,치킨,영등포구,34.7
234,2020-05-31,13,치킨,은평구,21.17
235,2020-05-31,14,치킨,구로구,29.38
236,2020-05-31,14,치킨,금천구,23.92
237,2020-05-31,14,치킨,도봉구,28.99
238,2020-05-31,14,치킨,동작구,22.0
239,2020-05-31,14,치킨,영등포구,22.43
240,2020-05-31,14,치킨,은평구,17.88
241,2020-05-31,15,치킨,구로구,29.1
242,2020-05-31,15,치킨,금천구,22.16
243,2020-05-31,15,치킨,도봉구,24.0
244,2020-05-31,15,치킨,동작구,22.95
