,date,hour,city,time
164,2020-05-02,17,은평구,23.43
165,2020-05-02,18,구로구,29.64
166,2020-05-02,18,금천구,23.47
167,2020-05-02,18,도봉구,27.36
168,2020-05-02,18,동작구,29.37
169,2020-05-02,18,양천구,19.55
170,2020-05-02,18,영등포구,27.83
171,2020-05-02,18,은평구,25.08
172,2020-05-02,19,구로구,31.26
173,2020-05-02,19,금천구,22.99
174,2020-05-02,19,도봉구,21.25
175,2020-05-02,19,동작구,23.03
176,2020-05-02,19,양천구,23.3
177,2020-05-02,19,영등포구,27.16
178,2020-05-02,19,은평구,24.29
179,2020-05-02,20,구로구,26.14
180,2020-05-02,20,금천구,21.22
181,2020-05-02,20,도봉구,20.22
182,2020-05-02,20,동작구,27.79
183,2020-05-02,20,양천구,30.77
184,2020-05-02,20,영등포구,29.94
185,2020-05-02,20,은평구,19.98
186,2020-05-02,21,구로구,24.16
187,2020-05-02,21,금천구,20.75
188,2020-05-02,21,도봉구,20.28
189,2020-05-02,21,동작구,28.57
190,2020-05-02,21,양천구,24.34
191,2020-05-02,21,영등포구,28.57
192,2020-05-02,21,은평구,23.32
193,2020-05-02,22,구로구,29.46
194,2020-05-02,22,금천구,21.66
195,2020-05-02,22,도봉구,24.73
196,2020-05-02,22,동작구,21.39
197,2020-05-02,22,영등포구,26.14
198,2020-05-02,22,은평구,23.93
199,2020-05-02,23,구로구,26.19
200,2020-05-02,23,금천구,20.43
201,2020-05-02,23,동작구,23.23
202,2020-05-02,23,영등포구,24.9
203,2020-05-02,23,은평구,22.92
204,2020-05-03,0,구로구,18.44
205,2020-05-03,0,금천구,20.56
206,2020-05-03,0,동작구,23.36
207,2020-05-03,0,영등포구,22.4
208,2020-05-03,0,은평구,17.35
209,2020-05-03,1,구로구,21.96
210,2020-05-03,1,금천구,21.61
211,2020-05-03,1,동작구,23.61
212,2020-05-03,1,영등포구,18.55
213,2020-05-03,1,은평구,16.28
214,2020-05-03,2,금천구,16.7
215,2020-05-03,2,영등포구,24.65
216,2020-05-03,3,영등포구,17.94
217,2020-05-03,4,영등포구,22.22
218,2020-05-03,5,영등포구,22.63
219,2020-05-03,6,영등포구,23.47
220,2020-05-03,7,영등포구,15.86
221,2020-05-03,8,영등포구,21.71
222,2020-05-03,9,동작구,40.94
223,2020-05-03,9,영등포구,29.21
224,2020-05-03,10,구로구,28.08
225,2020-05-03,10,동작구,43.62
226,2020-05-03,11,구로구,24.91
227,2020-05-03,11,금천구,18.14
228,2020-05-03,11,동작구,32.45
229,2020-05-03,11,영등포구,21.18
230,2020-05-03,12,구로구,23.05
231,2020-05-03,12,금천구,21.38
232,2020-05-03,12,도봉구,18.12
233,2020-05-03,12,동작구,18.51
234,2020-05-03,12,영등포구,22.84
235,2020-05-03,12,은평구,33.87
236,2020-05-03,13,구로구,27.18
237,2020-05-03,13,금천구,21.85
238,2020-05-03,13,도봉구,28.29
239,2020-05-03,13,동작구,13.48
240,2020-05-03,13,영등포구,27.58
241,2020-05-03,13,은평구,25.44
242,2020-05-03,14,구로구,25.44
243,2020-05-03,14,금천구,22.78
244,2020-05-03,14,도봉구,17.86
245,2020-05-03,14,동작구,35.84
246,2020-05-03,14,양천구,29.92
247,2020-05-03,14,영등포구,26.79
248,2020-05-03,14,은평구,24.87
249,2020-05-03,15,구로구,23.1
250,2020-05-03,15,금천구,17.03
251,2020-05-03,15,도봉구,24.76
252,2020-05-03,15,동작구,19.64
253,2020-05-03,15,영등포구,21.29
254,2020-05-03,15,은평구,25.52
255,2020-05-03,16,구로구,22.94
256,2020-05-03,16,금천구,21.39
257,2020-05-03,16,도봉구,22.95
258,2020-05-03,16,동작구,33.09
259,2020-05-03,16,양천구,17.97
260,2020-05-03,16,영등포구,25.9
261,2020-05-03,16,은평구,26.89
262,2020-05-03,17,구로구,28.58
263,2020-05-03,17,금천구,22.85
264,2020-05-03,17,도봉구,25.25
265,2020-05-03,17,동작구,25.84
266,2020-05-03,17,양천구,22.59
267,2020-05-03,17,영등포구,25.15
268,2020-05-03,17,은평구,22.42
269,2020-05-03,18,강서구,19.62
270,2020-05-03,18,구로구,27.76
271,2020-05-03,18,금천구,20.52
272,2020-05-03,18,도봉구,27.57
273,2020-05-03,18,동작구,32.51
274,2020-05-03,18,양천구,25.87
275,2020-05-03,18,영등포구,27.0
276,2020-05-03,18,은평구,27.12
277,2020-05-03,19,구로구,28.62
278,2020-05-03,19,금천구,22.51
279,2020-05-03,19,도봉구,24.52
280,2020-05-03,19,동작구,30.88
281,2020-05-03,19,양천구,23.13
282,2020-05-03,19,영등포구,23.17
283,2020-05-03,19,은평구,23.82
284,2020-05-03,20,구로구,26.82
285,2020-05-03,20,금천구,20.2
286,2020-05-03,20,도봉구,22.17
287,2020-05-03,20,동작구,25.77
288,2020-05-03,20,양천구,21.68
289,2020-05-03,20,영등포구,25.34
290,2020-05-03,20,은평구,23.3
291,2020-05-03,21,구로구,23.33
292,2020-05-03,21,금천구,19.07
293,2020-05-03,21,도봉구,22.9
294,2020-05-03,21,동작구,34.43
295,2020-05-03,21,양천구,22.52
296,2020-05-03,21,영등포구,23.18
297,2020-05-03,21,은평구,22.52
298,2020-05-03,22,구로구,25.02
299,2020-05-03,22,금천구,20.73
300,2020-05-03,22,도봉구,18.13
301,2020-05-03,22,동작구,30.4
302,2020-05-03,22,양천구,37.47
303,2020-05-03,22,영등포구,23.99
304,2020-05-03,22,은평구,21.07
305,2020-05-03,23,구로구,22.35
306,2020-05-03,23,금천구,21.08
307,2020-05-03,23,동작구,37.55
308,2020-05-03,23,영등포구,26.46
309,2020-05-03,23,은평구,19.13
310,2020-05-04,0,구로구,24.91
311,2020-05-04,0,금천구,21.31
312,2020-05-04,0,동작구,32.58
313,2020-05-04,0,영등포구,20.41
314,2020-05-04,0,은평구,19.13
315,2020-05-04,1,구로구,24.53
316,2020-05-04,1,금천구,18.28
317,2020-05-04,1,영등포구,15.8
318,2020-05-04,1,은평구,18.29
319,2020-05-04,2,금천구,16.82
320,2020-05-04,4,영등포구,17.4
321,2020-05-04,5,영등포구,19.39
322,2020-05-04,9,동작구,27.3
323,2020-05-04,9,영등포구,22.72
324,2020-05-04,10,동작구,11.32
325,2020-05-04,10,영등포구,19.93
326,2020-05-04,11,구로구,27.64
327,2020-05-04,11,금천구,24.87
328,2020-05-04,11,동작구,19.55
329,2020-05-04,12,구로구,26.18
330,2020-05-04,12,금천구,22.3
331,2020-05-04,12,동작구,16.15
332,2020-05-04,12,영등포구,23.65
333,2020-05-04,13,구로구,21.09
334,2020-05-04,13,금천구,20.55
335,2020-05-04,13,도봉구,27.85
336,2020-05-04,13,영등포구,31.14
337,2020-05-04,14,구로구,23.72
338,2020-05-04,14,금천구,18.39
339,2020-05-04,14,도봉구,12.37
340,2020-05-04,14,동작구,34.33
341,2020-05-04,14,영등포구,22.44
342,2020-05-04,14,은평구,20.75
343,2020-05-04,15,구로구,26.18
344,2020-05-04,15,금천구,20.0
345,2020-05-04,15,도봉구,19.45
346,2020-05-04,15,동작구,37.55
347,2020-05-04,15,영등포구,27.27
348,2020-05-04,15,은평구,26.37
349,2020-05-04,16,구로구,23.01
350,2020-05-04,16,금천구,22.4
351,2020-05-04,16,도봉구,22.26
352,2020-05-04,16,동작구,28.66
353,2020-05-04,16,양천구,30.59
354,2020-05-04,16,영등포구,21.54
355,2020-05-04,16,은평구,25.65
356,2020-05-04,17,구로구,26.53
357,2020-05-04,17,금천구,24.39
358,2020-05-04,17,도봉구,25.5
359,2020-05-04,17,동작구,23.59
360,2020-05-04,17,양천구,33.45
361,2020-05-04,17,영등포구,30.55
362,2020-05-04,17,은평구,20.97
363,2020-05-04,18,구로구,29.6
364,2020-05-04,18,금천구,26.47
365,2020-05-04,18,도봉구,25.19
366,2020-05-04,18,동작구,23.62
367,2020-05-04,18,양천구,20.81
368,2020-05-04,18,영등포구,31.41
369,2020-05-04,18,은평구,26.61
370,2020-05-04,19,구로구,30.6
371,2020-05-04,19,금천구,25.73
372,2020-05-04,19,도봉구,22.8
373,2020-05-04,19,동작구,29.19
374,2020-05-04,19,영등포구,35.85
375,2020-05-04,19,은평구,31.53
376,2020-05-04,20,구로구,32.69
